,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,first_genre,second_genre,third_genre,top_critic_review_count,review_count,star_power
95,Warrior,25000000,13.121626,2011,"26,214,781.26",140,7.7,1297,Action & Adventure,Drama,,45,186,0
96,The Sixth Sense,40000000,18.449169,1999,"1,032,632,466.17",107,7.7,3223,Mystery & Suspense,,,37,146,1
97,L.A. Confidential,35000000,10.989442,1997,"201,082,065.78",138,7.7,1340,Drama,Mystery & Suspense,,32,106,1
98,Hachi: A Dog's Tale,16000000,8.621359,2009,"56,982,821.29",93,7.7,1769,Drama,Kids & Family,,6,27,1
99,Rush,38000000,10.63552,2013,"99,039,989.08",123,7.7,2310,Action & Adventure,Drama,Mystery & Suspense,9,14,1
100,Rush,38000000,10.63552,2013,"99,039,989.08",123,7.7,2310,Action & Adventure,Drama,,9,14,1
101,Million Dollar Baby,30000000,14.471373,2004,"293,416,962.85",132,7.7,2519,Drama,Romance,,58,266,1
102,The Pursuit of Happyness,55000000,20.981716,2006,"389,482,461.96",117,7.7,2607,Drama,,,48,173,1
103,V for Vendetta,54000000,20.214422,2006,"168,070,791.91",132,7.7,4562,Action & Adventure,Drama,Mystery & Suspense,50,242,1
104,No Country for Old Men,25000000,15.565484,2007,"211,664,833.57",122,7.7,3083,Action & Adventure,Drama,Mystery & Suspense,60,277,1
105,Harry Potter and the Prisoner of Azkaban,130000000,28.460276,2004,"1,069,100,182.41",141,7.7,6037,Kids & Family,Science Fiction & Fantasy,,54,252,1
106,Mulholland Drive,15000000,18.184056,2001,"29,045,757.10",147,7.7,1517,Drama,Mystery & Suspense,Special Interest,39,160,0
107,Catch Me If You Can,52000000,19.833077,2002,"500,475,984.32",141,7.7,3917,Action & Adventure,Drama,,46,195,1
108,Donnie Darko,6000000,18.303148,2001,"1,834,401.33",113,7.7,3574,Comedy,Mystery & Suspense,Science Fiction & Fantasy,16,112,1
109,The Perks of Being a Wallflower,13000000,12.775679,2012,"37,196,777.00",102,7.7,3056,Drama,,,44,158,1
110,A Beautiful Mind,60000000,11.93646,2001,"452,697,778.62",135,7.7,3087,Drama,,,48,209,1
111,Snatch,10000000,14.014025,2000,"124,075,190.89",103,7.7,2953,Action & Adventure,Comedy,Drama,37,134,1
112,Toy Story,30000000,21.946943,1995,"626,756,996.31",81,7.7,5415,Animation,Comedy,Kids & Family,26,82,1
113,The Notebook,29000000,15.239013,2004,"156,483,566.20",123,7.7,3163,Art House & International,Drama,,17,36,1
114,The Notebook,29000000,15.239013,2004,"156,483,566.20",123,7.7,3163,Drama,Romance,,17,36,1
115,Raiders of the Lost Ark,18000000,19.901576,1981,"1,096,854,464.08",115,7.7,3949,Action & Adventure,,,17,73,1
116,Fargo,7000000,12.61469,1996,"98,779,362.70",98,7.7,2080,Drama,Mystery & Suspense,,28,87,1
117,Zootopia,150000000,26.024868,2016,"1,090,756,744.42",108,7.7,4961,Action & Adventure,Animation,Comedy,46,273,1
118,Unforgiven,14000000,10.942149,1992,"290,068,133.98",131,7.7,1133,Drama,Western,,24,86,1
119,Straight Outta Compton,28000000,21.183077,2015,"217,544,587.34",147,7.7,1381,Drama,Musical & Performing Arts,,50,235,0
120,Terminator 2: Judgment Day,100000000,22.661695,1991,"976,240,822.32",137,7.7,4274,Action & Adventure,Drama,Science Fiction & Fantasy,25,75,1
121,Aliens,18500000,21.761179,1986,"427,682,641.82",137,7.7,3282,Action & Adventure,Horror,Science Fiction & Fantasy,17,66,1
122,Braveheart,72000000,20.755149,1995,"352,342,519.69",177,7.7,3404,Action & Adventure,Classics,Drama,24,72,1
123,Heat,60000000,17.924927,1995,"314,485,527.31",170,7.7,1886,Action & Adventure,Drama,,2,3,2
124,Heat,60000000,17.924927,1995,"314,485,527.31",170,7.7,1886,Action & Adventure,Mystery & Suspense,,2,3,2
125,Captain Phillips,55000000,13.776068,2013,"104,255,364.81",134,7.6,2495,Drama,,,55,265,1
126,How to Train Your Dragon 2,145000000,12.256689,2014,"658,017,589.24",102,7.6,3163,Action & Adventure,Animation,Kids & Family,43,179,1
127,The Hateful Eight,44000000,20.328822,2015,"168,050,050.28",167,7.6,4405,Western,,,53,318,1
128,Moon,5000000,13.336773,2009,"11,634,771.99",97,7.6,1831,Mystery & Suspense,Science Fiction & Fantasy,,42,186,1
129,Captain America: The Winter Soldier,170000000,18.717704,2014,"772,141,159.53",136,7.6,5881,Action & Adventure,Science Fiction & Fantasy,,51,290,1
130,Indiana Jones and the Last Crusade,48000000,14.788987,1989,"977,788,151.57",127,7.6,3221,Action & Adventure,,,12,52,1
131,Toy Story 3,200000000,16.96647,2010,"1,250,913,127.27",103,7.6,4710,Animation,Comedy,Kids & Family,54,301,1
132,The Dark Knight Rises,250000000,20.58258,2012,"1,208,270,590.65",165,7.6,9263,Action & Adventure,Drama,Mystery & Suspense,59,354,1
133,The Untouchables,25000000,11.062203,1987,"171,675,660.98",119,7.6,1424,Action & Adventure,Drama,,16,49,1
134,The Princess Bride,16000000,15.15267,1987,"69,457,245.07",98,7.6,1518,Action & Adventure,Kids & Family,Science Fiction & Fantasy,17,61,1
135,Moonrise Kingdom,16000000,8.692433,2012,"76,023,046.80",94,7.6,1701,Comedy,,,52,242,0
136,The Martian,108000000,25.62993,2015,"679,883,524.36",141,7.6,7442,Science Fiction & Fantasy,,,59,358,1
137,The King's Speech,15000000,11.260387,2010,"485,620,784.41",118,7.6,2817,Drama,,,56,286,1
138,Misery,20000000,15.020845,1990,"119,881,378.50",107,7.6,1085,Drama,Horror,Mystery & Suspense,12,52,1
139,Breakfast at Tiffany's,2500000,10.879289,1961,"81,242,474.92",110,7.6,1082,Classics,Comedy,Drama,9,44,1
140,The Hobbit: The Desolation of Smaug,250000000,20.644776,2013,"1,051,772,017.17",161,7.6,4633,Action & Adventure,Science Fiction & Fantasy,,47,233,1
141,The Iron Giant,70000000,15.441459,1999,"35,545,223.82",86,7.6,1470,Animation,Kids & Family,Science Fiction & Fantasy,41,135,0
142,Me Before You,20000000,34.34759,2016,"221,548,148.66",110,7.6,2674,Drama,,,41,171,1
143,Mystic River,25000000,12.602438,2003,"217,931,470.18",138,7.6,1473,Drama,Mystery & Suspense,,47,198,1
144,Guardians of the Galaxy Vol. 2,200000000,185.330992,2017,"900,756,863.54",137,7.6,4858,Action & Adventure,Comedy,Science Fiction & Fantasy,55,389,1
145,The Nightmare Before Christmas,18000000,17.730913,1993,"133,838,881.53",76,7.6,2135,Animation,Kids & Family,Science Fiction & Fantasy,24,87,0
146,Philadelphia,26000000,13.373006,1993,"365,727,869.26",125,7.6,1019,Drama,,,9,29,1
147,Slumdog Millionaire,15000000,11.258181,2008,"448,823,623.32",120,7.6,2918,Drama,Romance,,49,282,0
148,Rain Man,25000000,11.267467,1988,"892,248,182.59",133,7.6,1762,Drama,,,15,54,1
149,Finding Nemo,94000000,25.497794,2003,"1,306,759,763.89",100,7.6,6292,Animation,Comedy,Kids & Family,59,258,1
150,Logan,97000000,54.581997,2017,"643,477,039.19",137,7.6,6310,Action & Adventure,Drama,Science Fiction & Fantasy,56,392,1
151,Ex Machina,15000000,14.14078,2015,"39,778,519.66",108,7.6,4862,Drama,Mystery & Suspense,Science Fiction & Fantasy,50,260,1
152,Big Fish,70000000,14.739983,2003,"170,817,404.15",125,7.6,2064,Comedy,Drama,,45,211,1
153,Kingsman: The Secret Service,81000000,28.224212,2015,"447,045,106.80",130,7.6,6069,Mystery & Suspense,,,50,248,1
154,Jurassic Park,63000000,8.863776,1993,"1,628,163,114.19",127,7.6,4956,Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy,30,119,1
155,Mulan,90000000,21.180857,1998,"477,390,729.74",88,7.6,2089,Action & Adventure,Animation,Kids & Family,16,66,0
156,Nightcrawler,8500000,21.277073,2014,"41,803,457.49",117,7.6,3475,Drama,Mystery & Suspense,,56,258,1
157,Dunkirk,100000000,30.938854,2017,"542,360,407.42",107,7.5,2712,Action & Adventure,Drama,,57,433,0
158,"Monsters, Inc.",115000000,26.419962,2001,"812,603,707.84",92,7.5,6150,Animation,Comedy,Kids & Family,45,190,1
159,Brokeback Mountain,14000000,11.787044,2005,"233,106,962.05",134,7.5,1531,Drama,Romance,,53,238,1
160,Ferris Bueller's Day Off,6000000,12.724645,1986,"163,630,196.65",103,7.5,1340,Comedy,,,13,51,1
161,Die Hard,28000000,16.640522,1988,"304,263,451.81",131,7.5,4005,Action & Adventure,Mystery & Suspense,,15,62,1
162,Shaun of the Dead,4000000,14.902948,2004,"40,662,109.76",99,7.5,2479,Action & Adventure,Comedy,Horror,44,203,1
163,Batman Begins,150000000,28.505341,2005,"489,952,456.15",140,7.5,7511,Action & Adventure,Science Fiction & Fantasy,,54,272,1
164,Little Miss Sunshine,8000000,5.320117,2006,"127,498,895.74",102,7.5,1728,Comedy,,,55,212,1
165,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,47.326665,2003,"910,252,010.74",143,7.5,7191,Action & Adventure,Science Fiction & Fantasy,,45,205,1
166,Harry Potter and the Goblet of Fire,150000000,24.903058,2005,"1,173,000,557.63",157,7.5,5758,Action & Adventure,Kids & Family,Science Fiction & Fantasy,52,249,1
167,Manchester by the Sea,9000000,12.821257,2016,"79,934,978.96",135,7.5,1553,Drama,,,51,332,1
168,Ratatouille,150000000,20.50803,2007,"769,348,405.99",111,7.5,4510,Animation,Comedy,Kids & Family,52,246,0
169,How to Train Your Dragon,165000000,14.416681,2010,"580,194,858.67",98,7.5,4319,Animation,Kids & Family,Science Fiction & Fantasy,45,206,1
170,Cast Away,90000000,21.296343,2000,"637,961,316.55",143,7.5,3304,Action & Adventure,Drama,,37,147,1
171,Fantastic Mr. Fox,40000000,8.695893,2009,"55,396,925.79",87,7.5,1206,Action & Adventure,Animation,Comedy,49,235,1
172,Beauty and the Beast,25000000,23.433511,1991,"708,432,719.55",84,7.5,3029,Animation,Drama,Kids & Family,31,113,1
173,Beauty and the Beast,25000000,23.433511,1991,"708,432,719.55",84,7.5,3029,Drama,Musical & Performing Arts,Science Fiction & Fantasy,31,113,1
174,Beauty and the Beast,160000000,287.253654,2017,"1,317,503,208.37",129,6.8,5530,Animation,Drama,Kids & Family,31,113,1
175,Beauty and the Beast,160000000,287.253654,2017,"1,317,503,208.37",129,6.8,5530,Drama,Musical & Performing Arts,Science Fiction & Fantasy,31,113,1
176,A Walk to Remember,11000000,8.054499,2002,"58,597,896.29",101,7.5,1057,Drama,Romance,,30,102,0
177,Platoon,6000000,18.206972,1986,"323,195,852.83",120,7.5,1236,Action & Adventure,Drama,,17,54,1
178,Seven Pounds,55000000,21.708267,2008,"199,723,541.98",123,7.5,2092,Drama,Romance,,45,188,1
179,Still Alice,5000000,8.823253,2014,"47,407,289.89",99,7.5,1126,Drama,,,44,198,1
