Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
132,The Fault in Our Stars,12963244,16.274653,2014,331823233,125,7.6,3868,0,Comedy
133,Edge of Tomorrow,192288128,31.982986,2014,400284745,113,7.6,4979,0,None
134,The Hateful Eight,47471729,20.328822,2015,168050050,167,7.6,4405,1,Western
135,Moon,5960372,13.336773,2009,11634771,97,7.6,1831,1,Mystery & Suspense
136,Captain America: The Winter Soldier,183645965,18.717704,2014,772141159,136,7.6,5881,1,Action & Adventure
137,Indiana Jones and the Last Crusade,98980645,14.788986999999999,1989,977788151,127,7.6,3221,1,Action & Adventure
138,Toy Story 3,234479596,16.96647,2010,1250913127,103,7.6,4710,1,Animation
139,The Dark Knight Rises,278418989,20.58258,2012,1208270590,165,7.6,9263,1,Action & Adventure
140,The Untouchables,56272007,11.062203,1987,171675660,119,7.6,1424,1,Action & Adventure
141,The Princess Bride,36014084,15.15267,1987,69457245,98,7.6,1518,1,Action & Adventure
142,Moonrise Kingdom,17818815,8.692433,2012,76023046,94,7.6,1701,0,Comedy
143,The Martian,116521518,25.629929999999998,2015,679883524,141,7.6,7442,1,Science Fiction & Fantasy
144,The King's Speech,17585969,11.260387,2010,485620784,118,7.6,2817,1,Drama
145,Misery,39127773,15.020845000000001,1990,119881378,107,7.6,1085,1,Drama
146,Breakfast at Tiffany's,21379598,10.879289,1961,81242474,110,7.6,1082,1,Classics
147,The Hobbit: The Desolation of Smaug,274356223,20.644776,2013,1051772017,161,7.6,4633,1,Action & Adventure
148,Dances with Wolves,43040550,11.654349,1990,829917386,181,7.6,1084,0,Action & Adventure
149,The Iron Giant,107436974,15.441459,1999,35545223,86,7.6,1470,0,Animation
150,Me Before You,21308333,34.347590000000004,2016,221548148,110,7.6,2674,1,Drama
151,Mystic River,34741847,12.602438000000001,2003,217931470,138,7.6,1473,1,Drama
152,Guardians of the Galaxy Vol. 2,208649530,185.33099199999998,2017,900756863,137,7.6,4858,1,Action & Adventure
153,The Nightmare Before Christmas,31851903,17.730913,1993,133838881,76,7.6,2135,0,Animation
154,Philadelphia,46008304,13.373006,1993,365727869,125,7.6,1019,1,Drama
155,Slumdog Millionaire,17814677,11.258181,2008,448823623,120,7.6,2918,0,Drama
156,Rain Man,54036348,11.267467,1988,892248182,133,7.6,1762,1,Drama
157,Finding Nemo,130629347,25.497794,2003,1306759763,100,7.6,6292,1,Animation
158,Logan,101195022,54.581996999999994,2017,643477039,137,7.6,6310,1,Action & Adventure
159,Ex Machina,16183544,14.14078,2015,39778519,108,7.6,4862,1,Drama
160,Big Fish,97277173,14.739982999999999,2003,170817404,125,7.6,2064,1,Comedy
161,Kingsman: The Secret Service,87391139,28.224211999999998,2015,447045106,130,7.6,6069,1,Mystery & Suspense
163,Mulan,141184049,21.180857,1998,477390729,88,7.6,2089,0,Action & Adventure
164,Nightcrawler,9182298,21.277073,2014,41803457,117,7.6,3475,1,Drama
165,Dunkirk,104324765,30.938854,2017,542360407,107,7.5,2712,0,Action & Adventure
166,"Monsters, Inc.",166038961,26.419961999999998,2001,812603707,92,7.5,6150,1,Animation
167,Brokeback Mountain,18329749,11.787044,2005,233106962,134,7.5,1531,1,Drama
168,Ferris Bueller's Day Off,13998175,12.724644999999999,1986,163630196,103,7.5,1340,1,Comedy
169,Die Hard,60520710,16.640522,1988,304263451,131,7.5,4005,1,Action & Adventure
170,Shaun of the Dead,5414505,14.902948,2004,40662109,99,7.5,2479,1,Action & Adventure
171,Batman Begins,196390168,28.505340999999998,2005,489952456,140,7.5,7511,1,Action & Adventure
172,Little Miss Sunshine,10146825,5.320117,2006,127498895,102,7.5,1728,1,Comedy
173,Pirates of the Caribbean: The Curse of the Black Pearl,194554347,47.326665000000006,2003,910252010,143,7.5,7191,1,Action & Adventure
174,Harry Potter and the Goblet of Fire,196390168,24.903057999999998,2005,1173000557,157,7.5,5758,1,Action & Adventure
