title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Game,50000000,14.825586999999999,1997,109423648,129,7.5,1556
The Lego Movie,60000000,16.418132999999997,2014,469160692,100,7.5,3127
Titanic,200000000,26.88907,1997,1845034188,194,7.5,7770
Blow,53000000,12.332222999999999,2001,83282296,124,7.4,1352
Twelve Monkeys,29500000,12.297305,1995,168840000,129,7.4,2470
Fury,68000000,36.713807,2014,211817906,135,7.4,4028
Star Trek,150000000,15.362632000000001,2009,385680446,127,7.4,4574
Back to the Future Part II,40000000,13.689855,1989,332000000,108,7.4,3926
Birdman,18000000,18.193263,2014,103215094,119,7.4,4657
The Danish Girl,15000000,11.245661,2015,64191523,120,7.4,1689
The Conjuring,13000000,14.901689999999999,2013,318000141,112,7.4,3169
Aladdin,28000000,16.357419,1992,504050219,90,7.4,3495
Harry Potter and the Half-Blood Prince,250000000,19.083723000000003,2009,933959197,153,7.4,5435
Halloween,300000,13.672759,1978,70000000,91,7.4,1066
The Royal Tenenbaums,21000000,9.707542,2001,71441250,110,7.4,1317
Groundhog Day,14600000,12.989627,1993,70906973,101,7.4,2358
Lucky Number Slevin,27000000,11.15092,2006,56308881,110,7.4,1356
Anastasia,53000000,11.911173,1997,139804348,94,7.4,1481
Children of Men,76000000,14.114606,2006,69959751,109,7.4,2120
Rogue One: A Star Wars Story,200000000,36.567575,2016,1056057273,133,7.4,5111
Blood Diamond,100000000,12.477872,2006,170877916,143,7.4,2344
American Sniper,58800000,19.228561,2014,542307423,133,7.4,4600
Hot Fuzz,12000000,13.535195000000002,2007,80573774,121,7.4,2252
Harry Potter and the Chamber of Secrets,100000000,29.741452000000002,2002,876688482,161,7.4,5966
Harry Potter and the Order of the Phoenix,150000000,21.3643,2007,938212738,138,7.4,5633
Atonement,30000000,8.913338000000001,2007,129266061,123,7.4,1075
American Gangster,100000000,9.644542,2007,266465037,157,7.4,1527
Serenity,39000000,11.919995,2005,38869464,119,7.4,1287
In Bruges,15000000,9.895652,2008,34533783,107,7.4,1414
Iron Man,140000000,22.073099,2008,585174222,126,7.4,8951
Deadpool,58000000,187.860492,2016,783112979,108,7.4,11444
Lone Survivor,40000000,10.855502,2013,149295601,121,7.4,1549
The Goonies,19000000,14.280702999999999,1985,61503218,114,7.4,1563
