Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
165,Blind Date,/m/1002571-blind_date,50,43,18531,3,5,19,39321715,3,16
167,Blood Feast,/m/1002611-blood_feast,14,45,6237,0,5,8,4000000,0,8
168,The Bounty,/m/1002947-bounty,28,72,10323,4,14,4,8613462,4,11
169,Brainstorm,/m/1003017-brainstorm,30,55,6871,1,10,7,10219460,1,8
170,Breakout,/m/1003060-breakout,13,42,1946,1,3,6,16000000,1,4
171,Brewster's Millions,/m/1003075-brewsters_millions,66,55,38491,0,8,14,45833132,0,13
172,Broken Arrow,/m/1003119-broken_arrow,27,70,1021,3,8,1,150270147,3,8
174,Bug,/m/1003217-bug,17,25,1995,0,2,5,8059140,0,5
176,Butch Cassidy and the Sundance Kid,/m/1003318-butch_cassidy_and_the_sundance_kid,23,92,71088,8,44,5,102308889,8,39
177,Cape Fear,/m/1003492-cape_fear,34,86,17709,1,20,0,182300000,1,8
179,Carrie,/m/1003625-carrie,19,77,352882,13,61,5,33800000,13,54
183,Casablanca,/m/1003707-casablanca,46,95,357186,20,81,2,10462500,20,77
184,Casino Royale,/m/1003722-casino_royale,40,35,33148,8,10,28,41744718,8,33
188,Cat on a Hot Tin Roof,/m/1003755-cat_on_a_hot_tin_roof,19,92,31721,5,34,1,17570324,5,20
189,Cat People,/m/1003757-cat_people,21,73,7763,6,43,3,4000000,6,39
193,Charade,/m/1003883-charade,12,92,42791,7,37,2,13474588,7,29
194,Charlotte's Web,/m/1003952-charlottes_web,17,67,227161,1,16,5,144000000,1,15
196,The Chase,/m/1003957-chase,38,74,2767,0,5,1,8009329,0,5
197,Children of the Corn,/m/1004047-children_of_the_corn,19,40,84908,0,9,16,14000000,0,15
198,A Christmas Carol,/m/1004125-christmas_carol,20,74,56563,0,12,0,325233863,0,10
199,A Christmas Story,/m/1004151-christmas_story,28,88,285689,7,51,6,19294144,7,44
200,Cleopatra,/m/1004330-cleopatra,53,69,20517,10,22,14,71000000,10,34
201,College,/m/1004463-college,22,73,2353,4,16,2,6230276,4,13
